idx,task,label_x,label_y,label_z,label_rx,label_ry,label_rz,label_gripper,pred_x,pred_y,pred_z,pred_rx,pred_ry,pred_rz,pred_gripper,mae_xyz,mae_action,cos_xyz,sign_z_match,sign_gripper_match
0,"Pick up the red rectangular peg, keep it vertical, and insert it into the rectangular slot.",-0.006101209670305252,-0.0031857204157859087,-0.036314431577920914,0.0,0.0,0.0,1.0,0.009485555812716484,-0.009989100508391857,-0.016606176272034645,0.0,0.0,0.011081182397902012,1.0479530096054077,0.014032800681889057,0.014447513036429882,0.7235304713249207,True,True
1,"Pick up the red rectangular peg, keep it vertical, and insert it into the rectangular slot.",-0.006528685800731182,-0.0031782719306647778,-0.036261044442653656,0.0,0.0,0.0,1.0,0.002536964602768421,-0.015378562733530998,0.006822110153734684,0.0,0.0,-0.022139836102724075,1.0414760112762451,0.021449698135256767,0.01828070543706417,-0.3418060541152954,False,True
2,"Pick up the red rectangular peg, keep it vertical, and insert it into the rectangular slot.",-0.006948526483029127,-0.0031701058614999056,-0.03620884194970131,0.0,0.0,0.0,1.0,0.008435497991740704,-0.006239163689315319,0.013563673011958599,0.0,0.0,-0.0022187838330864906,1.0388333797454834,0.02274186722934246,0.01561110932379961,-0.8351409435272217,False,True
3,"Pick up the red rectangular peg, keep it vertical, and insert it into the rectangular slot.",-0.0073614525608718395,-0.003162092063575983,-0.03615755960345268,0.0,0.0,0.0,1.0,0.009508064016699791,-0.011502893641591072,-0.0068605924025177956,0.0,0.0,0.005403094459325075,1.0442681312561035,0.018169095739722252,0.014882644638419151,0.3525269627571106,True,True
4,"Pick up the red rectangular peg, keep it vertical, and insert it into the rectangular slot.",-0.0077661494724452496,-0.003153520403429866,-0.03610619530081749,0.0,0.0,0.0,1.0,0.011639478616416454,-0.0008971136994659901,-0.011602016165852547,0.0,0.0,0.010157299228012562,1.0247342586517334,0.015388737432658672,0.011579682119190693,0.5431226491928101,True,True
5,"Pick up the red rectangular peg, keep it vertical, and insert it into the rectangular slot.",-0.008160780183970928,-0.0031440837774425745,-0.03605365753173828,0.0,0.0,0.0,1.0,0.013715062290430069,-0.009807100519537926,0.009300235658884048,0.0,0.0,-0.008418419398367405,1.0407981872558594,0.024630919098854065,0.017587052658200264,-0.5828930735588074,False,True
6,"Pick up the red rectangular peg, keep it vertical, and insert it into the rectangular slot.",-0.008547532372176647,-0.003135979874059558,-0.03600045293569565,0.0,0.0,0.0,1.0,0.01132416445761919,-0.01230522058904171,-0.01411635335534811,0.0,0.0,0.004909369628876448,1.0478426218032837,0.01697501167654991,0.01481100358068943,0.5537300705909729,True,True
7,"Pick up the red rectangular peg, keep it vertical, and insert it into the rectangular slot.",-0.008924540132284164,-0.00312816328369081,-0.03594569116830826,0.0,0.0,0.0,1.0,0.014575472101569176,0.01112622395157814,-0.011425948701798916,0.0,0.0,-0.0010760501027107239,1.0359185934066772,0.020758047699928284,0.014181255362927914,0.30612173676490784,True,True
8,"Pick up the red rectangular peg, keep it vertical, and insert it into the rectangular slot.",-0.009291092865169048,-0.0031210542656481266,-0.03588894382119179,0.0,0.0,0.0,1.0,0.009039265103638172,-0.0056917411275208,-0.0013059364864602685,0.0,0.0,-0.013051568530499935,1.0391108989715576,0.018494682386517525,0.015378073789179325,-0.04833555221557617,True,True
9,"Pick up the red rectangular peg, keep it vertical, and insert it into the rectangular slot.",-0.009648188017308712,-0.003115041647106409,-0.035830628126859665,0.0,0.0,0.0,1.0,-0.006118725053966045,-0.00787848886102438,-0.03131948038935661,0.0,0.0,0.01193168479949236,1.040695309638977,0.0042680189944803715,0.009347292594611645,0.9851218461990356,True,True
